video_id,audio_threshold,visual_threshold,top_percentile,window_lead,window_tail,window_total,true_peaks,duration_secs,ai_windows_after_audio,ai_windows_after_visual,recall_pct,noise_pct,pruned_pct,rand_recall_pct,rand_noise_pct,rand_pruned_pct,uniform_recall_pct,uniform_noise_pct,uniform_pruned_pct,recall_delta_vs_random,recall_delta_vs_uniform
wQA68Oqr1qE,0.6,150,0.1,15,5,20,9,730,2,1,0.0,100.0,97.3,11.1,0.0,97.3,0.0,100.0,97.3,-11.1,0.0
wQA68Oqr1qE,0.6,150,0.15,45,15,60,13,730,2,1,0.0,100.0,91.8,23.1,0.0,91.8,15.4,0.0,91.8,-23.1,-15.4
wQA68Oqr1qE,0.6,150,0.15,30,10,40,13,730,2,1,0.0,100.0,94.5,15.4,0.0,94.5,7.7,0.0,94.5,-15.4,-7.7
wQA68Oqr1qE,0.6,150,0.15,20,5,25,13,730,2,1,0.0,100.0,96.6,15.4,0.0,96.6,0.0,100.0,96.6,-15.4,0.0
wQA68Oqr1qE,0.6,150,0.15,15,5,20,13,730,2,1,0.0,100.0,97.3,15.4,0.0,97.3,0.0,100.0,97.3,-15.4,0.0
wQA68Oqr1qE,0.6,200,0.05,45,15,60,4,730,2,1,0.0,100.0,91.8,25.0,0.0,91.8,25.0,0.0,91.8,-25.0,-25.0
wQA68Oqr1qE,0.6,200,0.05,30,10,40,4,730,2,1,0.0,100.0,94.5,0.0,100.0,94.5,0.0,100.0,94.5,0.0,0.0
wQA68Oqr1qE,0.6,200,0.05,20,5,25,4,730,2,1,0.0,100.0,96.6,0.0,100.0,96.6,0.0,100.0,96.6,0.0,0.0
wQA68Oqr1qE,0.6,200,0.05,15,5,20,4,730,2,1,0.0,100.0,97.3,0.0,100.0,97.3,0.0,100.0,97.3,0.0,0.0
wQA68Oqr1qE,0.6,200,0.1,45,15,60,9,730,2,1,0.0,100.0,91.8,22.2,0.0,91.8,22.2,0.0,91.8,-22.2,-22.2
wQA68Oqr1qE,0.6,200,0.1,30,10,40,9,730,2,1,0.0,100.0,94.5,11.1,0.0,94.5,11.1,0.0,94.5,-11.1,-11.1
wQA68Oqr1qE,0.6,200,0.1,20,5,25,9,730,2,1,0.0,100.0,96.6,11.1,0.0,96.6,0.0,100.0,96.6,-11.1,0.0
wQA68Oqr1qE,0.6,200,0.1,15,5,20,9,730,2,1,0.0,100.0,97.3,11.1,0.0,97.3,0.0,100.0,97.3,-11.1,0.0
wQA68Oqr1qE,0.6,200,0.15,45,15,60,13,730,2,1,0.0,100.0,91.8,23.1,0.0,91.8,15.4,0.0,91.8,-23.1,-15.4
wQA68Oqr1qE,0.6,200,0.15,30,10,40,13,730,2,1,0.0,100.0,94.5,15.4,0.0,94.5,7.7,0.0,94.5,-15.4,-7.7
wQA68Oqr1qE,0.6,200,0.15,20,5,25,13,730,2,1,0.0,100.0,96.6,15.4,0.0,96.6,0.0,100.0,96.6,-15.4,0.0
wQA68Oqr1qE,0.6,200,0.15,15,5,20,13,730,2,1,0.0,100.0,97.3,15.4,0.0,97.3,0.0,100.0,97.3,-15.4,0.0
wQA68Oqr1qE,0.6,250,0.05,45,15,60,4,730,2,1,0.0,100.0,91.8,25.0,0.0,91.8,25.0,0.0,91.8,-25.0,-25.0
wQA68Oqr1qE,0.6,250,0.05,30,10,40,4,730,2,1,0.0,100.0,94.5,0.0,100.0,94.5,0.0,100.0,94.5,0.0,0.0
wQA68Oqr1qE,0.6,250,0.05,20,5,25,4,730,2,1,0.0,100.0,96.6,0.0,100.0,96.6,0.0,100.0,96.6,0.0,0.0
wQA68Oqr1qE,0.6,250,0.05,15,5,20,4,730,2,1,0.0,100.0,97.3,0.0,100.0,97.3,0.0,100.0,97.3,0.0,0.0
wQA68Oqr1qE,0.6,250,0.1,45,15,60,9,730,2,1,0.0,100.0,91.8,22.2,0.0,91.8,22.2,0.0,91.8,-22.2,-22.2
wQA68Oqr1qE,0.6,250,0.1,30,10,40,9,730,2,1,0.0,100.0,94.5,11.1,0.0,94.5,11.1,0.0,94.5,-11.1,-11.1
wQA68Oqr1qE,0.6,250,0.1,20,5,25,9,730,2,1,0.0,100.0,96.6,11.1,0.0,96.6,0.0,100.0,96.6,-11.1,0.0
wQA68Oqr1qE,0.6,250,0.1,15,5,20,9,730,2,1,0.0,100.0,97.3,11.1,0.0,97.3,0.0,100.0,97.3,-11.1,0.0
wQA68Oqr1qE,0.6,250,0.15,45,15,60,13,730,2,1,0.0,100.0,91.8,23.1,0.0,91.8,15.4,0.0,91.8,-23.1,-15.4
wQA68Oqr1qE,0.6,250,0.15,30,10,40,13,730,2,1,0.0,100.0,94.5,15.4,0.0,94.5,7.7,0.0,94.5,-15.4,-7.7
wQA68Oqr1qE,0.6,250,0.15,20,5,25,13,730,2,1,0.0,100.0,96.6,15.4,0.0,96.6,0.0,100.0,96.6,-15.4,0.0
wQA68Oqr1qE,0.6,250,0.15,15,5,20,13,730,2,1,0.0,100.0,97.3,15.4,0.0,97.3,0.0,100.0,97.3,-15.4,0.0
wQA68Oqr1qE,0.6,300,0.05,45,15,60,4,730,2,1,0.0,100.0,91.8,25.0,0.0,91.8,25.0,0.0,91.8,-25.0,-25.0
wQA68Oqr1qE,0.6,300,0.05,30,10,40,4,730,2,1,0.0,100.0,94.5,0.0,100.0,94.5,0.0,100.0,94.5,0.0,0.0
wQA68Oqr1qE,0.6,300,0.05,20,5,25,4,730,2,1,0.0,100.0,96.6,0.0,100.0,96.6,0.0,100.0,96.6,0.0,0.0
wQA68Oqr1qE,0.6,300,0.05,15,5,20,4,730,2,1,0.0,100.0,97.3,0.0,100.0,97.3,0.0,100.0,97.3,0.0,0.0
wQA68Oqr1qE,0.6,300,0.1,45,15,60,9,730,2,1,0.0,100.0,91.8,22.2,0.0,91.8,22.2,0.0,91.8,-22.2,-22.2
wQA68Oqr1qE,0.6,300,0.1,30,10,40,9,730,2,1,0.0,100.0,94.5,11.1,0.0,94.5,11.1,0.0,94.5,-11.1,-11.1
wQA68Oqr1qE,0.6,300,0.1,20,5,25,9,730,2,1,0.0,100.0,96.6,11.1,0.0,96.6,0.0,100.0,96.6,-11.1,0.0
wQA68Oqr1qE,0.6,300,0.1,15,5,20,9,730,2,1,0.0,100.0,97.3,11.1,0.0,97.3,0.0,100.0,97.3,-11.1,0.0
